,Date,Time,Latitude,Longitude,Type,Depth,Depth Error,Depth Seismic Stations,Magnitude,Magnitude Type,Magnitude Error,Magnitude Seismic Stations,Azimuthal Gap,Horizontal Distance,Horizontal Error,Root Mean Square,ID,Source,Location Source,Magnitude Source,Status
1479,01/28/1970,23:06:02,-20.672,-178.766,Earthquake,605.9,,,6.1,MW,,,,,,,ISCGEM800471,ISCGEM,ISCGEM,ISCGEM,Automatic
1480,01/30/1970,08:28:22,-14.575,167.34,Earthquake,164.9,,,5.9,MW,,,,,,,ISCGEMSUP800507,ISCGEMSUP,ISCGEM,ISCGEM,Automatic
1481,02/02/1970,17:22:07,43.149,147.667,Earthquake,30.8,,,5.7,MW,,,,,,,ISCGEM798750,ISCGEM,ISCGEM,ISCGEM,Automatic
1482,02/02/1970,17:49:52,43.321,147.489,Earthquake,29.7,,,6.0,MW,,,,,,,ISCGEM798752,ISCGEM,ISCGEM,ISCGEM,Automatic
1483,02/02/1970,18:05:48,43.031,147.763,Earthquake,25.9,,,5.8,MW,,,,,,,ISCGEM798753,ISCGEM,ISCGEM,ISCGEM,Automatic
1484,02/03/1970,19:17:17,43.341,147.929,Earthquake,29.3,,,5.7,MW,,,,,,,ISCGEM798790,ISCGEM,ISCGEM,ISCGEM,Automatic
1485,02/04/1970,05:08:48,15.518,-99.576,Earthquake,10.0,,,6.4,MW,,,,,,,ISCGEM798802,ISCGEM,ISCGEM,ISCGEM,Automatic
1486,02/05/1970,03:40:03,24.371,102.302,Earthquake,23.5,,,5.8,MW,,,,,,,ISCGEM798832,ISCGEM,ISCGEM,ISCGEM,Automatic
1487,02/05/1970,12:46:38,46.943,154.2,Earthquake,22.2,,,6.0,MW,,,,,,,ISCGEM798843,ISCGEM,ISCGEM,ISCGEM,Automatic
1488,02/05/1970,14:41:40,46.932,154.204,Earthquake,25.0,,,5.7,MW,,,,,,,ISCGEM798845,ISCGEM,ISCGEM,ISCGEM,Automatic
1489,02/05/1970,22:06:01,12.584,121.952,Earthquake,15.0,,,6.7,MW,,,,,,,ISCGEM798855,ISCGEM,ISCGEM,ISCGEM,Automatic
1490,02/06/1970,00:11:48,54.513,163.189,Earthquake,20.0,,,6.0,MW,,,,,,,ISCGEM798861,ISCGEM,ISCGEM,ISCGEM,Automatic
1491,02/06/1970,02:17:34,12.687,121.924,Earthquake,25.0,,,6.0,MW,,,,,,,ISCGEM798863,ISCGEM,ISCGEM,ISCGEM,Automatic
1492,02/06/1970,22:10:41,23.083,100.771,Earthquake,10.0,,,6.1,MW,,,,,,,ISCGEM798878,ISCGEM,ISCGEM,ISCGEM,Automatic
1493,02/07/1970,10:01:05,47.184,154.092,Earthquake,15.0,,,6.0,MW,,,,,,,ISCGEM798892,ISCGEM,ISCGEM,ISCGEM,Automatic
1494,02/07/1970,12:07:35,47.284,153.782,Earthquake,15.0,,,6.0,MW,,,,,,,ISCGEM798901,ISCGEM,ISCGEM,ISCGEM,Automatic
1495,02/10/1970,19:34:05,-5.936,130.638,Earthquake,125.0,,,5.8,MW,,,,,,,ISCGEM799014,ISCGEM,ISCGEM,ISCGEM,Automatic
1496,02/13/1970,15:43:28,-5.923,112.997,Earthquake,622.8,,,6.5,MW,,,,,,,ISCGEM799077,ISCGEM,ISCGEM,ISCGEM,Automatic
1497,02/14/1970,11:17:18,-10.012,-75.633,Earthquake,39.8,,,5.9,MW,,,,,,,ISCGEM799107,ISCGEM,ISCGEM,ISCGEM,Automatic
1498,02/15/1970,12:36:36,-0.045,122.999,Earthquake,138.3,,,5.9,MW,,,,,,,ISCGEM799142,ISCGEM,ISCGEM,ISCGEM,Automatic
1499,02/17/1970,05:46:02,9.846,125.912,Earthquake,55.0,,,5.6,MW,,,,,,,ISCGEM799184,ISCGEM,ISCGEM,ISCGEM,Automatic
1500,02/17/1970,19:14:20,-22.378,170.363,Earthquake,15.0,,,5.8,MW,,,,,,,ISCGEM799201,ISCGEM,ISCGEM,ISCGEM,Automatic
1501,02/18/1970,15:23:33,-20.724,-176.668,Earthquake,251.6,,,6.0,MW,,,,,,,ISCGEM799223,ISCGEM,ISCGEM,ISCGEM,Automatic
1502,02/21/1970,16:52:02,-8.734,124.062,Earthquake,85.0,,,5.7,MW,,,,,,,ISCGEM799295,ISCGEM,ISCGEM,ISCGEM,Automatic
1503,02/23/1970,11:22:28,27.771,54.54,Earthquake,25.0,,,5.8,MW,,,,,,,ISCGEM799367,ISCGEM,ISCGEM,ISCGEM,Automatic
1504,02/24/1970,02:07:35,30.607,103.203,Earthquake,15.0,,,5.6,MW,,,,,,,ISCGEM799389,ISCGEM,ISCGEM,ISCGEM,Automatic
1505,02/24/1970,08:05:45,59.51,-143.636,Earthquake,15.0,,,5.8,MW,,,,,,,ISCGEM799398,ISCGEM,ISCGEM,ISCGEM,Automatic
1506,02/25/1970,10:20:59,24.126,122.253,Earthquake,30.0,,,6.1,MW,,,,,,,ISCGEM799415,ISCGEM,ISCGEM,ISCGEM,Automatic
1507,02/26/1970,15:50:08,13.567,120.466,Earthquake,35.0,,,5.8,MW,,,,,,,ISCGEM799446,ISCGEM,ISCGEM,ISCGEM,Automatic
1508,02/26/1970,23:05:59,43.439,147.521,Earthquake,21.0,,,5.9,MW,,,,,,,ISCGEM799452,ISCGEM,ISCGEM,ISCGEM,Automatic
1509,02/26/1970,23:29:05,43.473,147.547,Earthquake,26.2,,,6.1,MW,,,,,,,ISCGEM799455,ISCGEM,ISCGEM,ISCGEM,Automatic
1510,02/27/1970,07:07:59,50.144,-179.788,Earthquake,10.0,,,6.1,MW,,,,,,,ISCGEM799476,ISCGEM,ISCGEM,ISCGEM,Automatic
1511,02/27/1970,10:47:53,-8.012,119.726,Earthquake,175.6,,,5.7,MW,,,,,,,ISCGEM799492,ISCGEM,ISCGEM,ISCGEM,Automatic
1512,02/28/1970,10:52:33,52.487,-174.915,Earthquake,164.1,,,7.1,MW,,,,,,,ISCGEM799531,ISCGEM,ISCGEM,ISCGEM,Automatic
1513,02/28/1970,19:58:48,27.756,56.316,Earthquake,25.0,,,5.6,MW,,,,,,,ISCGEM799549,ISCGEM,ISCGEM,ISCGEM,Automatic
1514,03/04/1970,03:30:35,12.213,143.847,Earthquake,20.0,,,6.2,MW,,,,,,,ISCGEM797509,ISCGEM,ISCGEM,ISCGEM,Automatic
1515,03/04/1970,06:31:56,-19.746,-178.538,Earthquake,621.2,,,5.6,MW,,,,,,,ISCGEM797512,ISCGEM,ISCGEM,ISCGEM,Automatic
1516,03/04/1970,14:27:49,7.273,126.891,Earthquake,35.0,,,6.1,MW,,,,,,,ISCGEM797518,ISCGEM,ISCGEM,ISCGEM,Automatic
1517,03/08/1970,11:51:23,1.77,126.612,Earthquake,47.5,,,5.7,MW,,,,,,,ISCGEM797653,ISCGEM,ISCGEM,ISCGEM,Automatic
1518,03/09/1970,00:50:07,39.579,143.546,Earthquake,25.0,,,5.9,MW,,,,,,,ISCGEM797667,ISCGEM,ISCGEM,ISCGEM,Automatic
1519,03/09/1970,16:01:11,-19.091,168.672,Earthquake,30.0,,,6.6,MW,,,,,,,ISCGEM797686,ISCGEM,ISCGEM,ISCGEM,Automatic
1520,03/10/1970,04:58:29,44.683,148.909,Earthquake,54.5,,,6.2,MW,,,,,,,ISCGEM797745,ISCGEM,ISCGEM,ISCGEM,Automatic
1521,03/10/1970,06:11:57,12.702,122.247,Earthquake,25.0,,,5.8,MW,,,,,,,ISCGEM797751,ISCGEM,ISCGEM,ISCGEM,Automatic
1522,03/10/1970,17:15:11,-31.077,116.567,Earthquake,10.0,,,5.7,MW,,,,,,,ISCGEMSUP797790,ISCGEMSUP,ISCGEM,ISCGEM,Automatic
1523,03/11/1970,22:38:36,57.399,-154.058,Earthquake,39.0,,,6.0,MW,,,,,,,ISCGEM797882,ISCGEM,ISCGEM,ISCGEM,Automatic
1524,03/15/1970,12:39:18,-29.701,-69.397,Earthquake,116.7,,,6.0,MW,,,,,,,ISCGEM798065,ISCGEM,ISCGEM,ISCGEM,Automatic
